gauge,depth_in,height_in,width_in (column profile),price_cents,price,weight_kg,load_capacity_kg,type,category
12,36,144,3,262410,2624.1,55.95,21242,selectivo,marco
12,36,144,3,251790,2517.9,54.85,20440,selectivo,marco
12,36,144,3,283968,2839.68,60.55,18666,selectivo,marco
12,36,144,3,273357,2733.57,58.15,17130,selectivo,marco
12,36,144,3,268418,2684.18,56.92,14683,selectivo,marco
12,36,144,3,260124,2601.24,55.15,12076,selectivo,marco
12,42,144,3,295662,2956.62,63.04,22069,selectivo,marco
12,42,144,3,282077,2820.77,60.14,22096,selectivo,marco
12,42,144,3,276723,2767.23,59.02,22015,selectivo,marco
12,42,144,3,269403,2694.03,57.46,21242,selectivo,marco
12,42,144,3,263792,2637.92,56.17,20440,selectivo,marco
12,42,144,3,295662,2956.62,63.04,18666,selectivo,marco
12,42,144,3,283564,2835.64,60.42,17130,selectivo,marco
12,42,144,3,271544,2715.44,58.66,14683,selectivo,marco
12,42,144,3,253897,2538.97,55.79,12076,selectivo,marco
14,36,168,3,242280,2422.8,51.66,15667,selectivo,marco
14,36,168,3,233541,2335.41,49.8,15700,selectivo,marco
14,36,168,3,228841,2288.41,48.79,15683,selectivo,marco
14,36,168,3,223585,2235.85,47.67,15137,selectivo,marco
14,36,168,3,224609,2246.09,46.72,14555,selectivo,marco
14,36,168,3,242280,2422.8,51.66,13271,selectivo,marco
14,36,168,3,233335,2333.35,49.75,11983,selectivo,marco
14,36,168,3,228884,2288.84,48.8,10483,selectivo,marco
14,36,168,3,223647,2236.47,47.69,9071,selectivo,marco
14,42,168,3,252381,2523.81,53.81,15667,selectivo,marco
14,42,168,3,240204,2402.04,51.22,15700,selectivo,marco
14,42,168,3,236097,2360.97,50.34,15683,selectivo,marco
14,42,168,3,229830,2298.3,49,15137,selectivo,marco
14,42,168,3,224615,2246.15,47.92,14555,selectivo,marco
14,42,168,3,252298,2522.98,53.79,13271,selectivo,marco
14,42,168,3,241827,2418.27,51.24,11983,selectivo,marco
14,42,168,3,236204,2362.04,50.37,10483,selectivo,marco
14,42,168,3,229830,2298.3,49,9071,selectivo,marco
12,36,168,3,331244,3312.44,70.63,22040,selectivo,marco
12,36,168,3,319495,3194.95,68.12,22074,selectivo,marco
12,36,168,3,313044,3130.44,66.75,21992,selectivo,marco
12,36,168,3,306097,3060.97,65.27,21219,selectivo,marco
12,36,168,3,299964,2999.64,63.82,20439,selectivo,marco
12,36,168,3,331244,3312.44,70.63,18588,selectivo,marco
12,36,168,3,319495,3194.95,68.12,16652,selectivo,marco
12,36,168,3,311015,3110.15,66.76,14669,selectivo,marco
12,36,168,3,306097,3060.97,65.27,12689,selectivo,marco
12,42,168,3,344890,3448.9,73.54,22040,selectivo,marco
12,42,168,3,329039,3290.39,70.16,22074,selectivo,marco
12,42,168,3,322973,3229.73,68.83,21992,selectivo,marco
12,42,168,3,314363,3143.63,67.03,21219,selectivo,marco
12,42,168,3,307339,3073.39,65.4,20439,selectivo,marco
12,42,168,3,344890,3448.9,73.54,18588,selectivo,marco
12,42,168,3,329039,3290.39,70.16,16652,selectivo,marco
12,42,168,3,322887,3228.87,68.87,14669,selectivo,marco
12,42,168,3,314363,3143.63,67.03,12689,selectivo,marco
14,36,192,3,276916,2769.16,59.04,15639,selectivo,marco
14,36,192,3,266927,2669.27,56.91,15677,selectivo,marco
14,36,192,3,261556,2615.56,55.77,15661,selectivo,marco
14,36,192,3,255548,2555.48,54.49,15116,selectivo,marco
14,36,192,3,250364,2503.64,53.36,14337,selectivo,marco
14,36,192,3,276916,2769.16,59.06,13255,selectivo,marco
14,36,192,3,266788,2667.88,56.86,11879,selectivo,marco
14,36,192,3,261603,2616.03,55.78,10470,selectivo,marco
14,36,192,3,255619,2556.19,54.5,9058,selectivo,marco
14,42,192,3,288460,2884.6,61.51,15639,selectivo,marco
14,42,192,3,274584,2745.84,58.55,15677,selectivo,marco
14,42,192,3,269848,2698.48,57.6,15661,selectivo,marco
14,42,192,3,262686,2626.86,56.32,15116,selectivo,marco
14,42,192,3,256720,2567.2,55.01,14337,selectivo,marco
14,42,192,3,288366,2883.66,61.49,13255,selectivo,marco
14,42,192,3,276398,2763.98,58.93,11879,selectivo,marco
14,42,192,3,269990,2699.9,57.57,10470,selectivo,marco
14,42,192,3,262686,2626.86,56.01,9058,selectivo,marco
12,36,192,3,378598,3785.98,80.72,22011,selectivo,marco
12,36,192,3,365170,3651.7,77.86,22049,selectivo,marco
12,36,192,3,357795,3577.95,76.29,21969,selectivo,marco
12,36,192,3,349856,3498.56,74.6,21197,selectivo,marco
12,36,192,3,342874,3428.74,73.11,20376,selectivo,marco
12,36,192,3,378598,3785.98,80.72,18571,selectivo,marco
12,36,192,3,364698,3646.98,77.63,16636,selectivo,marco
12,36,192,3,357866,3578.66,76.3,14654,selectivo,marco
12,36,192,3,349856,3498.56,74.6,12674,selectivo,marco
12,42,192,3,394195,3941.95,84.05,22011,selectivo,marco
12,42,192,3,376077,3760.77,80.19,22049,selectivo,marco
12,42,192,3,368939,3689.39,78.67,21969,selectivo,marco
12,42,192,3,359303,3593.03,76.97,21197,selectivo,marco
12,42,192,3,351435,3514.35,75.16,20376,selectivo,marco
12,42,192,3,394195,3941.95,84.05,18571,selectivo,marco
12,42,192,3,376077,3760.77,80.37,16636,selectivo,marco
12,42,192,3,369175,3691.75,78.72,14654,selectivo,marco
12,42,192,3,359303,3593.03,76.61,12674,selectivo,marco
14,36,240,3,346131,3461.31,73.8,15584,selectivo,marco
14,36,240,3,333645,3336.45,71.14,15631,selectivo,marco
14,36,240,3,326931,3269.31,69.71,15618,selectivo,marco
14,36,240,3,319422,3194.22,68.12,15076,selectivo,marco
14,36,240,3,308345,3083.45,66.74,14501,selectivo,marco
14,36,240,3,346131,3461.31,73.8,13223,selectivo,marco
14,36,240,3,333351,3333.51,71.08,11780,selectivo,marco
14,36,240,3,326990,3269.9,69.72,10445,selectivo,marco
14,36,240,3,319510,3195.1,68.13,9031,selectivo,marco
14,42,240,3,360561,3605.61,76.88,15584,selectivo,marco
14,42,240,3,343216,3432.16,73.18,15631,selectivo,marco
14,42,240,3,337297,3372.97,71.96,15618,selectivo,marco
14,42,240,3,328345,3283.45,70.01,15076,selectivo,marco
14,42,240,3,319384,3193.84,68.37,14501,selectivo,marco
14,42,240,3,360443,3604.43,76.85,13223,selectivo,marco
14,42,240,3,345483,3454.83,73.64,11780,selectivo,marco
14,42,240,3,337473,3374.73,71.96,10445,selectivo,marco
14,42,240,3,328345,3283.45,70.01,9031,selectivo,marco
12,36,240,3,473229,4732.29,100.9,21952,selectivo,marco
12,36,240,3,456443,4564.43,97.32,22000,selectivo,marco
12,36,240,3,447226,4472.26,95.36,21922,selectivo,marco
12,36,240,3,437302,4373.02,93.24,21153,selectivo,marco
12,36,240,3,428855,4288.55,91.38,20337,selectivo,marco
12,36,240,3,473229,4732.29,100.9,18535,selectivo,marco
12,36,240,3,455854,4558.54,97.2,16604,selectivo,marco
12,36,240,3,447314,4473.14,95.38,14625,selectivo,marco
12,36,240,3,437302,4373.02,93.24,12643,selectivo,marco
12,42,240,3,492723,4927.23,105.06,21952,selectivo,marco
12,42,240,3,470078,4700.78,100.35,22000,selectivo,marco
12,42,240,3,461155,4611.55,98.33,21922,selectivo,marco
12,42,240,3,449111,4491.11,95.76,21153,selectivo,marco
12,42,240,3,439035,4390.35,93.61,20337,selectivo,marco
12,42,240,3,492723,4927.23,105.06,18535,selectivo,marco
12,42,240,3,471477,4714.77,100.46,16604,selectivo,marco
12,42,240,3,461439,4614.39,98.39,14625,selectivo,marco
12,42,240,3,449111,4491.11,95.76,12643,selectivo,marco
14,36,288,3,415346,4153.46,88.56,15529,selectivo,marco
14,36,288,3,400363,4003.63,85.37,15585,selectivo,marco
14,36,288,3,392307,3923.07,83.65,15575,selectivo,marco
14,36,288,3,383296,3832.96,81.73,15036,selectivo,marco
14,36,288,3,375628,3756.28,80.39,14465,selectivo,marco
14,36,288,3,415346,4153.46,88.56,13192,selectivo,marco
14,36,288,3,400010,4000.1,85.29,11821,selectivo,marco
14,36,288,3,392377,3923.77,83.66,10419,selectivo,marco
14,36,288,3,383402,3834.02,81.75,9005,selectivo,marco
14,42,288,3,432661,4326.61,92.25,15529,selectivo,marco
14,42,288,3,411848,4118.48,87.81,15585,selectivo,marco
14,42,288,3,404475,4044.75,86.34,15575,selectivo,marco
14,42,288,3,394003,3940.03,84.01,15036,selectivo,marco
14,42,288,3,385023,3850.23,82.66,14465,selectivo,marco
14,42,288,3,432500,4325,92.22,13192,selectivo,marco
14,42,288,3,414569,4145.69,89.43,11821,selectivo,marco
14,42,288,3,404937,4049.37,86.34,10419,selectivo,marco
14,42,288,3,394003,3940.03,84.01,9005,selectivo,marco
12,36,288,3,567859,5678.59,121.08,21893,selectivo,marco
12,36,288,3,547717,5477.17,116.78,21950,selectivo,marco
12,36,288,3,536656,5366.56,115.36,21875,selectivo,marco
12,36,288,3,524748,5247.48,113.24,21109,selectivo,marco
12,36,288,3,514823,5148.23,109.66,20298,selectivo,marco
12,36,288,3,567859,5678.59,121.08,18500,selectivo,marco
12,36,288,3,547010,5470.1,116.31,16571,selectivo,marco
12,36,288,3,536743,5367.43,114.45,14596,selectivo,marco
12,36,288,3,524748,5247.48,111.89,12613,selectivo,marco
12,42,288,3,591251,5912.51,126.07,21893,selectivo,marco
12,42,288,3,564078,5640.78,120.27,21950,selectivo,marco
12,42,288,3,553371,5533.71,117.99,21875,selectivo,marco
12,42,288,3,538818,5388.18,114.91,21109,selectivo,marco
12,42,288,3,529305,5293.05,112.13,20298,selectivo,marco
12,42,288,3,591251,5912.51,126.07,18500,selectivo,marco
12,42,288,3,570337,5703.37,121.55,16571,selectivo,marco
12,42,288,3,553718,5537.18,118.06,14596,selectivo,marco
12,42,288,3,538918,5389.18,114.91,12613,selectivo,marco
14,36,312,3,449982,4499.82,95.94,15502,selectivo,marco
14,36,312,3,433750,4337.5,92.48,15562,selectivo,marco
14,36,312,3,425021,4250.21,90.62,15553,selectivo,marco
14,36,312,3,415259,4152.59,88.54,15015,selectivo,marco
14,36,312,3,406951,4069.51,86.77,14447,selectivo,marco
14,36,312,3,449982,4499.82,95.94,13176,selectivo,marco
14,36,312,3,433367,4333.67,92.46,11839,selectivo,marco
14,36,312,3,425098,4250.98,90.64,10407,selectivo,marco
14,36,312,3,415374,4153.74,88.57,8992,selectivo,marco
14,42,312,3,468741,4687.41,99.94,15502,selectivo,marco
14,42,312,3,446192,4461.92,95.14,15562,selectivo,marco
14,42,312,3,438497,4384.97,93.5,15553,selectivo,marco
14,42,312,3,426859,4268.59,91,15015,selectivo,marco
14,42,312,3,417173,4171.73,89.33,14447,selectivo,marco
14,42,312,3,468588,4685.88,99.91,13176,selectivo,marco
14,42,312,3,449104,4491.04,96.13,11839,selectivo,marco
14,42,312,3,438759,4387.59,93.55,10407,selectivo,marco
14,42,312,3,426859,4268.59,91.01,8992,selectivo,marco
12,36,312,3,615213,6152.13,131.18,21863,selectivo,marco
12,36,312,3,593391,5933.91,126.52,21926,selectivo,marco
12,36,312,3,581408,5814.08,123.97,21851,selectivo,marco
12,36,312,3,568675,5686.75,121.22,21087,selectivo,marco
12,36,312,3,557175,5571.75,118.8,20278,selectivo,marco
12,36,312,3,615213,6152.13,131.18,18482,selectivo,marco
12,36,312,3,592625,5926.25,126.45,16555,selectivo,marco
12,36,312,3,581523,5815.23,123.99,14528,selectivo,marco
12,36,312,3,568675,5686.75,121.22,12598,selectivo,marco
12,42,312,3,640556,6405.56,136.58,21863,selectivo,marco
12,42,312,3,611116,6111.16,130.3,21926,selectivo,marco
12,42,312,3,599516,5995.16,127.83,21851,selectivo,marco
12,42,312,3,583859,5838.59,124.49,21087,selectivo,marco
12,42,312,3,570766,5707.66,121.93,20278,selectivo,marco
12,42,312,3,640556,6405.56,136.58,18482,selectivo,marco
12,42,312,3,611165,6111.65,130.22,16555,selectivo,marco
12,42,312,3,599899,5998.99,127.91,14528,selectivo,marco
12,42,312,3,583859,5838.59,124.49,12598,selectivo,marco
14,36,336,3,488192,4881.92,104.09,15474,selectivo,marco
14,36,336,3,477885,4778.85,101.89,15539,selectivo,marco
14,36,336,3,466168,4661.68,99.4,15532,selectivo,marco
14,36,336,3,453041,4530.41,96.6,14995,selectivo,marco
14,36,336,3,438052,4380.52,93.4,14429,selectivo,marco
14,36,336,3,488192,4881.92,104.09,13160,selectivo,marco
14,36,336,3,477695,4776.95,101.85,11693,selectivo,marco
14,36,336,3,466279,4662.79,99.42,10394,selectivo,marco
14,36,336,3,453041,4530.41,96.6,8978,selectivo,marco
14,42,336,3,508434,5084.34,108.41,15474,selectivo,marco
14,42,336,3,495414,4954.14,105.64,15539,selectivo,marco
14,42,336,3,481292,4812.92,102.63,15532,selectivo,marco
14,42,336,3,465796,4657.96,99.32,14995,selectivo,marco
14,42,336,3,448604,4486.04,95.65,14429,selectivo,marco
14,42,336,3,508453,5084.53,108.41,13160,selectivo,marco
14,42,336,3,495401,4954.01,105.63,11693,selectivo,marco
14,42,336,3,481347,4813.47,102.63,10394,selectivo,marco
14,42,336,3,465796,4657.96,99.32,8978,selectivo,marco
12,36,336,3,662489,6624.89,141.26,21834,selectivo,marco
12,36,336,3,638991,6389.91,136.25,21901,selectivo,marco
12,36,336,3,626087,6260.87,133.49,21828,selectivo,marco
12,36,336,3,612194,6121.94,130.53,21055,selectivo,marco
12,36,336,3,599911,5999.11,127.93,20652,selectivo,marco
12,36,336,3,662489,6624.89,141.26,18465,selectivo,marco
12,36,336,3,638166,6381.66,136.13,16539,selectivo,marco
12,36,336,3,626116,6261.16,133.52,14567,selectivo,marco
12,36,336,3,612194,6121.94,130.53,12582,selectivo,marco
12,42,336,3,689770,6897.7,147.07,21834,selectivo,marco
12,42,336,3,658078,6580.78,140.32,21901,selectivo,marco
12,42,336,3,645587,6455.87,137.65,21828,selectivo,marco
12,42,336,3,628725,6287.25,134.06,21055,selectivo,marco
12,42,336,3,613635,6136.35,130.29,20652,selectivo,marco
12,42,336,3,689770,6897.7,147.07,18465,selectivo,marco
12,42,336,3,658458,6584.58,140.38,16539,selectivo,marco
12,42,336,3,645990,6459.9,137.74,14567,selectivo,marco
12,42,336,3,628725,6287.25,134.06,12582,selectivo,marco
14,36,360,3,526982,5269.82,112.36,15446,selectivo,marco
14,36,360,3,499936,4999.36,106.48,15517,selectivo,marco
14,36,360,3,487679,4876.79,103.98,15510,selectivo,marco
14,36,360,3,474552,4745.52,101.18,14975,selectivo,marco
14,36,360,3,480636,4806.36,102.48,14411,selectivo,marco
14,36,360,3,526982,5269.82,112.36,13144,selectivo,marco
14,36,360,3,499206,4992.06,106.44,11678,selectivo,marco
14,36,360,3,487790,4877.9,104.01,10381,selectivo,marco
14,36,360,3,474552,4745.52,101.18,8965,selectivo,marco
14,42,360,3,549339,5493.39,117.13,15446,selectivo,marco
14,42,360,3,516952,5169.52,110.22,15517,selectivo,marco
14,42,360,3,502838,5028.38,107.2,15510,selectivo,marco
14,42,360,3,487307,4873.07,103.9,14975,selectivo,marco
14,42,360,3,493059,4930.59,105.13,14411,selectivo,marco
14,42,360,3,549399,5493.99,117.13,13144,selectivo,marco
14,42,360,3,516952,5169.52,110.69,11678,selectivo,marco
14,42,360,3,502858,5028.58,107.22,10381,selectivo,marco
14,42,360,3,487307,4873.07,103.9,8965,selectivo,marco
12,36,360,3,709843,7098.43,151.35,21805,selectivo,marco
12,36,360,3,684665,6846.65,145.98,21876,selectivo,marco
12,36,360,3,670893,6708.93,143.99,21805,selectivo,marco
12,36,360,3,655933,6559.33,139.86,21043,selectivo,marco
12,36,360,3,642878,6428.78,137.07,20238,selectivo,marco
12,36,360,3,709843,7098.43,151.35,18447,selectivo,marco
12,36,360,3,683781,6837.81,145.8,16532,selectivo,marco
12,36,360,3,670911,6709.11,143.06,14553,selectivo,marco
12,36,360,3,655933,6559.33,139.86,12567,selectivo,marco
12,42,360,3,739085,7390.85,157.59,21805,selectivo,marco
12,42,360,3,705116,7051.16,150.34,21876,selectivo,marco
