height_mm,depth_mm,height_in,depth_in,width_in,beam_separation_in,gauge,load_capacity_kg,weight_kg,cost,type,category,sku
7315,1067,288,42,3,42,12,21950,120.27,5640.78,selectivo,marco,frame-288in-42in-42in-g12
7315,1067,288,42,3,48,12,21875,117.99,5533.71,selectivo,marco,frame-288in-42in-48in-g12
7315,1067,288,42,3,54,12,21109,114.91,5389.18,selectivo,marco,frame-288in-42in-54in-g12
7315,1067,288,42,3,60,12,20298,112.33,5268.33,selectivo,marco,frame-288in-42in-60in-g12
7315,1067,288,42,3,72,12,18500,126.07,5912.51,selectivo,marco,frame-288in-42in-72in-g12
7315,1067,288,42,3,84,12,16571,120.55,5653.85,selectivo,marco,frame-288in-42in-84in-g12
7315,1067,288,42,3,96,12,14596,118.06,5537.24,selectivo,marco,frame-288in-42in-96in-g12
7315,1067,288,42,3,108,12,12613,114.91,5389.18,selectivo,marco,frame-288in-42in-108in-g12
7925,1067,312,42,3,36,12,21863,136.58,6405.56,selectivo,marco,frame-312in-42in-36in-g12
7925,1067,312,42,3,42,12,21926,130.3,6111.16,selectivo,marco,frame-312in-42in-42in-g12
7925,1067,312,42,3,48,12,21851,127.83,5995.16,selectivo,marco,frame-312in-42in-48in-g12
7925,1067,312,42,3,54,12,21087,124.49,5838.59,selectivo,marco,frame-312in-42in-54in-g12
7925,1067,312,42,3,60,12,20278,121.7,5707.66,selectivo,marco,frame-312in-42in-60in-g12
7925,1067,312,42,3,72,12,18482,136.58,6405.56,selectivo,marco,frame-312in-42in-72in-g12
7925,1067,312,42,3,84,12,16555,130.6,6125.33,selectivo,marco,frame-312in-42in-84in-g12
7925,1067,312,42,3,96,12,14582,127.91,5998.99,selectivo,marco,frame-312in-42in-96in-g12
7925,1067,312,42,3,108,12,12598,124.49,5838.59,selectivo,marco,frame-312in-42in-108in-g12
8534,1067,336,42,3,36,12,21834,147.07,6897.80,selectivo,marco,frame-336in-42in-36in-g12
8534,1067,336,42,3,42,12,21901,140.32,6580.78,selectivo,marco,frame-336in-42in-42in-g12
8534,1067,336,42,3,48,12,21828,137.65,6455.87,selectivo,marco,frame-336in-42in-48in-g12
8534,1067,336,42,3,54,12,21065,134.06,6287.25,selectivo,marco,frame-336in-42in-54in-g12
8534,1067,336,42,3,60,12,20258,131.05,6146.26,selectivo,marco,frame-336in-42in-60in-g12
8534,1067,336,42,3,72,12,18465,147.07,6897.80,selectivo,marco,frame-336in-42in-72in-g12
8534,1067,336,42,3,84,12,16539,140.64,6596.03,selectivo,marco,frame-336in-42in-84in-g12
8534,1067,336,42,3,96,12,14567,137.74,6459.99,selectivo,marco,frame-336in-42in-96in-g12
8534,1067,336,42,3,108,12,12582,134.06,6287.25,selectivo,marco,frame-336in-42in-108in-g12
9144,1067,360,42,3,36,12,21805,157.59,7390.85,selectivo,marco,frame-360in-42in-36in-g12
9144,1067,360,42,3,42,12,21876,150.34,7051.16,selectivo,marco,frame-360in-42in-42in-g12
9144,1067,360,42,3,48,12,21805,147.49,6917.32,selectivo,marco,frame-360in-42in-48in-g12
9144,1067,360,42,3,54,12,21043,143.64,6736.66,selectivo,marco,frame-360in-42in-54in-g12
9144,1067,360,42,3,60,12,20238,140.42,6585.59,selectivo,marco,frame-360in-42in-60in-g12
9144,1067,360,42,3,72,12,18447,157.59,7390.85,selectivo,marco,frame-360in-42in-72in-g12
9144,1067,360,42,3,84,12,16523,150.69,7067.51,selectivo,marco,frame-360in-42in-84in-g12
9144,1067,360,42,3,96,12,14553,147.59,6921.74,selectivo,marco,frame-360in-42in-96in-g12
9144,1067,360,42,3,108,12,12567,143.64,6736.66,selectivo,marco,frame-360in-42in-108in-g12
9754,1067,384,42,3,36,12,21775,168.1,7883.89,selectivo,marco,frame-384in-42in-36in-g12
9754,1067,384,42,3,42,12,21852,160.37,7521.55,selectivo,marco,frame-384in-42in-42in-g12
9754,1067,384,42,3,48,12,21781,157.33,7378.78,selectivo,marco,frame-384in-42in-48in-g12
9754,1067,384,42,3,54,12,21021,153.22,7186.06,selectivo,marco,frame-384in-42in-54in-g12
9754,1067,384,42,3,60,12,20219,149.79,7024.92,selectivo,marco,frame-384in-42in-60in-g12
9754,1067,384,42,3,72,12,18429,168.1,7883.89,selectivo,marco,frame-384in-42in-72in-g12
9754,1067,384,42,3,84,12,16506,160.75,7538.98,selectivo,marco,frame-384in-42in-84in-g12
9754,1067,384,42,3,96,12,14538,157.43,7383.49,selectivo,marco,frame-384in-42in-96in-g12
9754,1067,384,42,3,108,12,12552,153.22,7186.06,selectivo,marco,frame-384in-42in-108in-g12
10363,1067,408,42,3,36,12,21746,178.6,8376.13,selectivo,marco,frame-408in-42in-36in-g12
10363,1067,408,42,3,42,12,21827,170.39,7991.16,selectivo,marco,frame-408in-42in-42in-g12
10363,1067,408,42,3,48,12,21758,167.15,7839.48,selectivo,marco,frame-408in-42in-48in-g12
10363,1067,408,42,3,54,12,20999,162.79,7634.73,selectivo,marco,frame-408in-42in-54in-g12
10363,1067,408,42,3,60,12,20199,159.14,7463.53,selectivo,marco,frame-408in-42in-60in-g12
10363,1067,408,42,3,72,12,18412,178.6,8376.13,selectivo,marco,frame-408in-42in-72in-g12
10363,1067,408,42,3,84,12,16490,170.78,8009.69,selectivo,marco,frame-408in-42in-84in-g12
10363,1067,408,42,3,96,12,14524,167.26,7844.49,selectivo,marco,frame-408in-42in-96in-g12
10363,1067,408,42,3,108,12,12536,162.79,7634.73,selectivo,marco,frame-408in-42in-108in-g12
10973,1067,432,42,3,36,12,21716,189.11,8869.18,selectivo,marco,frame-432in-42in-36in-g12
10973,1067,432,42,3,42,12,21802,180.42,8461.55,selectivo,marco,frame-432in-42in-42in-g12
10973,1067,432,42,3,48,12,21734,176.99,8300.94,selectivo,marco,frame-432in-42in-48in-g12
10973,1067,432,42,3,54,12,20977,172.37,8084.14,selectivo,marco,frame-432in-42in-54in-g12
10973,1067,432,42,3,60,12,20179,168.5,7902.85,selectivo,marco,frame-432in-42in-60in-g12
10973,1067,432,42,3,72,12,18394,189.11,8869.18,selectivo,marco,frame-432in-42in-72in-g12
10973,1067,432,42,3,84,12,16474,180.84,8481.16,selectivo,marco,frame-432in-42in-84in-g12
10973,1067,432,42,3,96,12,14509,177.11,8306.24,selectivo,marco,frame-432in-42in-96in-g12
10973,1067,432,42,3,108,12,12521,172.37,8084.14,selectivo,marco,frame-432in-42in-108in-g12
11582,1067,456,42,3,36,12,21687,199.6,9361.41,selectivo,marco,frame-456in-42in-36in-g12
11582,1067,456,42,3,42,12,21778,190.43,8931.17,selectivo,marco,frame-456in-42in-42in-g12
11582,1067,456,42,3,48,12,21711,186.82,8761.64,selectivo,marco,frame-456in-42in-48in-g12
11582,1067,456,42,3,54,12,20955,181.94,8532.81,selectivo,marco,frame-456in-42in-54in-g12
11582,1067,456,42,3,60,12,20160,177.86,8341.46,selectivo,marco,frame-456in-42in-60in-g12
11582,1067,456,42,3,72,12,18376,199.6,9361.41,selectivo,marco,frame-456in-42in-72in-g12
11582,1067,456,42,3,84,12,16458,190.87,8951.87,selectivo,marco,frame-456in-42in-84in-g12
11582,1067,456,42,3,96,12,14495,186.93,8767.23,selectivo,marco,frame-456in-42in-96in-g12
11582,1067,456,42,3,108,12,12506,181.94,8532.81,selectivo,marco,frame-456in-42in-108in-g12
