height_mm,depth_mm,height_in,depth_in,width_in,beam_separation_in,gauge,load_capacity_kg,weight_kg,cost,type,category,sku
7315,914,288,36,3,108,14,9005,81.75,3834.02,selectivo,marco,frame-288in-36in-108in-g14
7925,914,312,36,3,36,14,15502,95.94,4499.82,selectivo,marco,frame-312in-36in-36in-g14
7925,914,312,36,3,42,14,15562,92.48,4337.50,selectivo,marco,frame-312in-36in-42in-g14
7925,914,312,36,3,48,14,15553,90.62,4250.21,selectivo,marco,frame-312in-36in-48in-g14
7925,914,312,36,3,54,14,15015,88.54,4152.59,selectivo,marco,frame-312in-36in-54in-g14
7925,914,312,36,3,60,14,14447,86.77,4069.51,selectivo,marco,frame-312in-36in-60in-g14
7925,914,312,36,3,72,14,13176,95.94,4499.82,selectivo,marco,frame-312in-36in-72in-g14
7925,914,312,36,3,84,14,11807,92.4,4333.67,selectivo,marco,frame-312in-36in-84in-g14
7925,914,312,36,3,96,14,10407,90.64,4250.98,selectivo,marco,frame-312in-36in-96in-g14
7925,914,312,36,3,108,14,8992,88.57,4153.74,selectivo,marco,frame-312in-36in-108in-g14
8534,914,336,36,3,36,14,15474,104.09,4881.92,selectivo,marco,frame-336in-36in-36in-g14
8534,914,336,36,3,42,14,15539,101.89,4778.85,selectivo,marco,frame-336in-36in-42in-g14
8534,914,336,36,3,48,14,15532,99.4,4661.68,selectivo,marco,frame-336in-36in-48in-g14
8534,914,336,36,3,54,14,14995,96.6,4530.41,selectivo,marco,frame-336in-36in-54in-g14
8534,914,336,36,3,60,14,14429,93.4,4380.52,selectivo,marco,frame-336in-36in-60in-g14
8534,914,336,36,3,72,14,13160,104.09,4881.92,selectivo,marco,frame-336in-36in-72in-g14
8534,914,336,36,3,84,14,11793,101.85,4776.95,selectivo,marco,frame-336in-36in-84in-g14
8534,914,336,36,3,96,14,10394,99.42,4662.79,selectivo,marco,frame-336in-36in-96in-g14
8534,914,336,36,3,108,14,8978,96.6,4530.41,selectivo,marco,frame-336in-36in-108in-g14
9144,914,360,36,3,36,14,15446,112.36,5269.82,selectivo,marco,frame-360in-36in-36in-g14
9144,914,360,36,3,42,14,15517,106.48,4993.96,selectivo,marco,frame-360in-36in-42in-g14
9144,914,360,36,3,48,14,15510,103.98,4876.79,selectivo,marco,frame-360in-36in-48in-g14
9144,914,360,36,3,54,14,14975,101.18,4745.52,selectivo,marco,frame-360in-36in-54in-g14
9144,914,360,36,3,60,14,14411,102.48,4806.36,selectivo,marco,frame-360in-36in-60in-g14
9144,914,360,36,3,72,14,13144,112.36,5269.82,selectivo,marco,frame-360in-36in-72in-g14
9144,914,360,36,3,84,14,11778,106.44,4992.06,selectivo,marco,frame-360in-36in-84in-g14
9144,914,360,36,3,96,14,10381,104.01,4877.90,selectivo,marco,frame-360in-36in-96in-g14
9144,914,360,36,3,108,14,8965,101.18,4745.52,selectivo,marco,frame-360in-36in-108in-g14
9754,914,384,36,3,36,14,15419,116.95,5484.93,selectivo,marco,frame-384in-36in-36in-g14
9754,914,384,36,3,42,14,15494,114.94,5390.58,selectivo,marco,frame-384in-36in-42in-g14
9754,914,384,36,3,48,14,15488,112.64,5282.59,selectivo,marco,frame-384in-36in-48in-g14
9754,914,384,36,3,54,14,14955,110.05,5161.22,selectivo,marco,frame-384in-36in-54in-g14
9754,914,384,36,3,60,14,14393,107.07,5021.47,selectivo,marco,frame-384in-36in-60in-g14
